Date,KOSPI_Predict,KOSPI_residual
2001-01-01,665.5166938052512,-27.7505890786546
2001-02-01,670.5502595909769,-9.513352864768407
2001-03-01,664.3987230111344,-18.76139049963076
2001-04-01,612.5513340730856,-18.89583347691878
2001-05-01,628.3789004024711,-7.654428713803507
2001-06-01,637.1747622435777,-4.959026511535345
2001-07-01,554.9661499852334,7.000343535671581
2001-08-01,549.7321949092014,2.3201913841394703
2001-09-01,614.8848499732912,-13.482983587710388
2001-10-01,610.9010682867215,-22.024022908022037
2001-11-01,574.861582439682,-5.65560521966623
2001-12-01,590.376373520656,9.26499653879814
2002-01-01,533.1605329298754,26.455544116163125
2002-02-01,642.7702928358692,13.422282153515633
2002-03-01,651.8647065928445,21.858440129842066
2002-04-01,635.6096796552505,27.42773373197419
2002-05-01,653.5219230977029,23.99670608032669
2002-06-01,663.0180118726672,17.6303514749522
2002-07-01,619.9744764159839,16.919116570496513
2002-08-01,657.0981134104746,7.163306949636242
2002-09-01,711.4735092664653,5.3866446891585875
2002-10-01,692.8252295282425,-6.240355378259323
2002-11-01,711.5925768951078,-9.8730142662098
2002-12-01,718.4762330135014,1.6001653043851403
2003-01-01,686.6968841759514,-8.112298152612908
2003-02-01,684.34420683013,-13.979481825774066
2003-03-01,734.3429599748623,-24.456470743485585
2003-04-01,734.6696831355292,-36.41371121797558
2003-05-01,748.7933516573423,-25.333648844627454
2003-06-01,778.8487989403345,-20.06116738455311
2003-07-01,707.7903182664193,-4.8966755489320875
2003-08-01,749.5553524367041,-3.0656646091774733
2003-09-01,881.1746252630928,-15.32038911453754
2003-10-01,858.6227428584701,-21.913237850668075
2003-11-01,881.4144624033434,-11.295325824958748
2003-12-01,893.0767922133108,-10.612813165051687
2004-01-01,1000.883186984913,-21.87165903427818
2004-02-01,922.5743818705389,-7.917320575809626
2004-03-01,955.4358346856073,-6.252803537061122
2004-04-01,1009.0153411834182,-14.303635364873198
2004-05-01,1069.0889564353845,-23.43570175097672
2004-06-01,976.2308205942335,-19.669860450155497
2004-07-01,948.0596463447357,-21.853867632962192
2004-08-01,896.1073245543166,-24.530263699372778
2004-09-01,1068.934906361327,-30.778959866072103
2004-10-01,1040.409908931437,-22.978441026871675
2004-11-01,1037.4400192196117,-24.14618615460974
2004-12-01,1022.22641280044,-16.586041605889605
2005-01-01,1052.6905619543907,-17.788831047475202
2005-02-01,1153.5711204075005,-24.88725875645514
2005-03-01,1075.2085044588512,-6.7225656547873065
2005-04-01,1094.3900466375803,-11.456364867866418
2005-05-01,1039.4274733840275,-13.175613922173685
2005-06-01,1109.0941074227414,-14.397387074165449
2005-07-01,1065.6097191244887,-4.674733219827581
2005-08-01,1048.9253060210037,6.008592804440607
2005-09-01,1170.129210712941,-5.762919340992707
2005-10-01,1208.468584697517,2.760859951277222
2005-11-01,1156.0025199549884,2.7711409264486826
2005-12-01,1125.0606452637992,13.853148956048395
2006-01-01,1112.114688741324,19.949708210691654
2006-02-01,1161.3155585412683,15.600226855144497
2006-03-01,1199.7243986812439,12.281611560923897
2006-04-01,1219.3866249750129,11.622639972820231
2006-05-01,1299.284929216256,9.451186199996107
2006-06-01,1299.9282679341113,-0.3735854600152422
2006-07-01,1227.8601281080396,5.155983029017257
2006-08-01,1219.0012940448082,5.30999145190092
2006-09-01,1348.1433238813217,0.6285003809827242
2006-10-01,1456.678946370077,-6.000418155031727
2006-11-01,1361.949919039484,0.9022505883156314
2006-12-01,1365.892352091587,4.773393562872139
2007-01-01,1253.7288549694758,12.647962392216334
2007-02-01,1366.2736857421303,1.2022788529806787
2007-03-01,1380.4930907929547,2.4020947214889894
2007-04-01,1389.722613690654,4.78286751963618
2007-05-01,1470.0486395402006,5.359644657168567
2007-06-01,1514.213314079532,11.771470535616698
2007-07-01,1401.5557625738115,20.876407114697173
2007-08-01,1379.0178085366356,25.71748183163373
2007-09-01,1598.601961327734,15.049767971913527
2007-10-01,1527.1650506478006,22.189412858616038
2007-11-01,1586.415685657681,23.106736059710872
2007-12-01,1561.5957460902625,17.915731664751792
2008-01-01,1434.058228164784,22.627628036106508
2008-02-01,1655.6639598008107,-1.292968608762811
2008-03-01,1661.8218650028607,0.5926875151573109
2008-04-01,1674.4824440814764,1.6312266657966579
2008-05-01,1938.0482473996597,-4.8574205824722405
2008-06-01,1795.0253351048575,2.8418842939028037
2008-07-01,1737.978139062296,-4.291620504680331
2008-08-01,1726.2725418463713,-9.69026870803048
2008-09-01,1763.8825746421942,-24.706247367645915
2008-10-01,1642.611985963865,-14.096423900189967
2008-11-01,1368.9387785465199,-21.243736364696918
2008-12-01,1211.7007816940118,-14.460408994163334
2009-01-01,1059.6109573815713,8.449027356007322
2009-02-01,1237.0594747264574,-7.85644315152861
2009-03-01,1245.030212531959,-22.20435729252354
2009-04-01,1350.0571892579103,-9.461729686215737
2009-05-01,1413.5372343084616,-1.1171765414660029
2009-06-01,1460.8269676449474,-3.2313594548051405
2009-07-01,1363.235355287719,3.430333416848333
2009-08-01,1344.960268373444,14.058948461102123
2009-09-01,1505.11405890504,7.266887305149522
2009-10-01,1570.853464331994,4.485904772988823
2009-11-01,1571.8242317706379,-0.8167733595006037
2009-12-01,1595.1143280951976,-1.6177616450830452
2010-01-01,1456.0438352771837,14.155444994093436
2010-02-01,1710.2734580136105,-6.463575235527652
2010-03-01,1651.1411659278804,-2.2302470360023077
2010-04-01,1737.0398395761918,-1.0394457544158913
2010-05-01,1958.778449257144,-13.802409308401883
2010-06-01,1934.3687717146995,-18.643815733237208
